quorumCheckOnRead,ongaroLeaseEnabled,leaseGuardEnabled,deferCommitEnabled,inheritLeaseEnabled,write_ratio,reads,writes,opsPerSec_read,opsPerSec_write,p50latencyNanos_read,p50latencyNanos_write,total_ops_per_sec,combined_p50_ms
False,False,False,False,False,0.5,37500,37500,2343.5333333333333,2343.5733333333333,84905.66666666667,4462870.666666667,4687.106666666667,2.273906847551534
False,False,False,False,False,0.5,75000,75000,4687.27,4687.336666666667,84984.33333333333,4671590.666666667,9374.606666666667,2.378303808617867
False,False,False,False,False,0.5,112500,112500,7030.953333333334,7031.013333333333,94514.66666666667,4938423.333333333,14061.966666666667,2.5164793340637512
False,False,False,False,False,0.5,150000,150000,9374.6,9374.62,98745.33333333333,5192679.0,18749.22,2.645714883544311
False,False,False,False,False,0.5,187500,187500,11718.166666666666,11718.200000000003,114732.33333333333,5524286.666666667,23436.36666666667,2.819513346980216
False,False,False,False,False,0.5,225000,225000,14061.933333333334,14062.0,140916.0,5880547.0,28123.933333333334,3.010738302783632
False,False,False,False,False,0.5,262500,262500,16405.6,16405.63333333333,176443.0,6268539.0,32811.23333333333,3.222494094517426
False,False,False,False,False,0.5,300000,300000,18748.933333333334,18748.966666666667,265244.0,6733198.666666667,37497.9,3.4992242081408413
False,False,False,False,False,0.5,337500,337500,21092.533333333333,21092.600000000002,381093.0,7179345.666666667,42185.13333333333,3.780224705093581
False,False,False,False,False,0.5,375000,375000,23435.733333333334,23435.86666666667,600565.0,7832417.666666667,46871.600000000006,4.216501619380986
False,False,False,False,False,0.5,412500,412500,22044.13333333333,22040.066666666666,1030756.6666666666,8883955.0,44084.2,4.9569936135370245
False,False,False,False,False,0.5,450000,450000,24934.066666666666,24929.333333333332,1814564.6666666667,10440211.333333334,49863.399999999994,6.126978600912806
False,False,False,False,False,0.5,487500,487500,20338.533333333333,20313.766666666666,168517302.0,178927161.0,40652.3,173.71906049235835
False,False,False,False,False,0.5,525000,525000,16106.966666666667,16099.533333333333,1475927264.6666667,1490953513.6666667,32206.5,1483.4386551204718
False,False,False,False,False,0.5,562500,562500,14385.566666666666,14360.633333333333,1913045238.0,1920880225.0,28746.199999999997,1916.9593336188448
False,False,False,False,False,0.5,600000,600000,17004.0,16975.600000000002,2446029510.3333335,2458861734.3333335,33979.600000000006,2452.4402597751864
False,False,True,True,True,0.5,37500,37500,2210.1066666666666,2209.1733333333336,81316.0,4493017.666666667,4419.280000000001,2.2867009669227167
False,False,True,True,True,0.5,75000,75000,4687.283333333333,4687.343333333333,82970.33333333333,4668505.333333333,9374.626666666667,2.375752507629696
False,False,True,True,True,0.5,112500,112500,7030.946666666667,7031.006666666667,88521.0,4937366.0,14061.953333333335,2.512953844604804
False,False,True,True,True,0.5,150000,150000,9374.606666666667,9374.646666666666,96393.0,5206351.666666667,18749.253333333334,2.6513777841729755
False,False,True,True,True,0.5,187500,187500,11718.200000000003,11718.266666666668,109948.66666666667,5543727.0,23436.46666666667,2.8268455617143657
False,False,True,True,True,0.5,225000,225000,14061.933333333334,14062.0,146603.33333333334,5906127.0,28123.933333333334,3.0263719930276856
False,False,True,True,True,0.5,262500,262500,16405.63333333333,16405.666666666668,203387.0,6307064.333333333,32811.3,3.255228767060602
False,False,True,True,True,0.5,300000,300000,18748.899999999998,18748.933333333334,659991.0,6930967.0,37497.83333333333,3.7954817872614868
False,False,True,True,True,0.5,337500,337500,10766.313333333334,10758.766666666666,1122106718.6666667,1129074770.0,21525.08,1125.5895228382046
False,False,True,True,True,0.5,375000,375000,9031.156666666668,9022.663333333334,2506424765.0,2514841671.6666665,18053.82,2510.6312384865764
False,False,True,True,True,0.5,412500,412500,8967.58,8960.266666666666,3022042754.0,3025254877.6666665,17927.846666666665,3023.648160670125
False,False,True,True,True,0.5,450000,450000,8740.253333333334,8736.596666666666,3452437879.6666665,3464908701.3333335,17476.85,3458.671985870222
False,False,True,True,True,0.5,487500,487500,8542.78,8537.859999999999,3684233232.0,3684066869.3333335,17080.64,3684.150074626668
False,False,True,True,True,0.5,525000,525000,8402.136666666667,8398.996666666666,3728274679.6666665,3735689547.0,16801.13333333333,3731.98142044307
False,False,True,True,True,0.5,562500,562500,8623.62,8620.773333333333,4089694276.3333335,4103428898.3333335,17244.393333333333,4096.56045369268
False,False,True,True,True,0.5,600000,600000,8448.636666666667,8441.096666666666,4320509304.666667,4321048682.0,16889.733333333334,4320.778872937558
False,True,False,False,False,0.5,37500,37500,2343.6066666666666,2343.67,84133.66666666667,4463291.0,4687.276666666667,2.2737419183835486
False,True,False,False,False,0.5,75000,75000,3141.3866666666668,2269.463333333333,87205.66666666667,3123194.6666666665,5410.85,1.3605852125611808
False,True,False,False,False,0.5,112500,112500,5585.29,5584.033333333333,98510.0,4958883.333333333,11169.323333333334,2.528423245037921
False,True,False,False,False,0.5,150000,150000,8385.58,8384.933333333332,101693.33333333333,5226131.0,16770.513333333332,2.6638133681696083
False,True,False,False,False,0.5,187500,187500,9649.656666666666,9642.246666666666,117098.66666666667,5601600.0,19291.903333333332,2.8582960377051676
False,True,False,False,False,0.5,225000,225000,11526.793333333333,11524.173333333334,146800.0,5855572.333333333,23050.966666666667,3.0008617337756385
False,True,False,False,False,0.5,262500,262500,15919.699999999999,15917.533333333333,181299.0,6252255.333333333,31837.23333333333,3.2165705887491622
False,True,False,False,False,0.5,300000,300000,12689.933333333334,11788.333333333334,278783.0,4523403.0,24478.26666666667,2.3229226490492243
False,True,False,False,False,0.5,337500,337500,18800.0,18797.833333333332,431210.3333333333,7262370.333333333,37597.83333333333,3.8465935022216113
False,True,False,False,False,0.5,375000,375000,12862.82,11250.6,768923.3333333334,5452261.0,24113.42,2.954028505167109
False,True,False,False,False,0.5,412500,412500,24543.433333333334,24289.666666666668,1099261.0,8993214.666666666,48833.100000000006,5.025726926706362
False,True,False,False,False,0.5,450000,450000,18080.100000000002,18070.233333333334,3935653.3333333335,13898028.666666666,36150.333333333336,8.915481462928573
False,True,False,False,False,0.5,487500,487500,18660.600000000002,18613.399999999998,586192528.0,592490459.0,37274.0,589.33750597058
False,True,False,False,False,0.5,525000,525000,15610.066666666666,15588.966666666667,1678391922.0,1693906533.3333333,31199.033333333333,1686.1439813775326
False,True,False,False,False,0.5,562500,562500,18433.666666666668,18020.36666666667,1278501367.3333333,1318592181.6666667,36454.03333333334,1298.3195083781354
False,True,False,False,False,0.5,600000,600000,12189.800000000001,12170.0,1864806089.6666667,1869943145.3333333,24359.800000000003,1867.372529763192
True,False,False,False,False,0.5,37500,37500,2343.6266666666666,2343.65,4150779.3333333335,4628526.333333333,4687.276666666667,4.3896540224491885
True,False,False,False,False,0.5,75000,75000,4281.56,4281.58,812026198.6666666,815328269.6666666,8563.14,813.6772380228118
True,False,False,False,False,0.5,112500,112500,5827.57,5827.59,1445225038.6666667,1448484271.0,11655.16,1446.8546576297192
True,False,False,False,False,0.5,150000,150000,4941.553333333333,4941.53,3500726695.6666665,3502562114.3333335,9883.083333333332,3501.6444028333462
True,False,False,False,False,0.5,187500,187500,8940.31,8940.289999999999,1918048007.6666667,1921704232.0,17880.6,1919.876117788534
True,False,False,False,False,0.5,225000,225000,10502.173333333334,10502.24,2033819679.6666667,2037704656.3333333,21004.413333333334,2035.762174165334
True,False,False,False,False,0.5,262500,262500,12065.083333333334,12065.116666666667,2096993848.6666667,2101217894.3333333,24130.2,2099.1058744175375
True,False,False,False,False,0.5,300000,300000,13622.726666666667,13622.793333333333,2196566262.0,2200879647.6666665,27245.52,2198.7229601105137
True,False,False,False,False,0.5,337500,337500,9291.253333333334,9291.19,4455482313.333333,4457816704.333333,18582.443333333336,4456.649504855256
True,False,False,False,False,0.5,375000,375000,9916.44,9912.673333333334,2308556522.6666665,2313483930.6666665,19829.113333333335,2311.0197586703634
True,False,False,False,False,0.5,412500,412500,10860.216666666667,10860.25,4623369058.666667,4626592787.333333,21720.466666666667,4624.980925473649
True,False,False,False,False,0.5,450000,450000,16438.286666666667,16434.52,2363712487.6666665,2369977045.3333335,32872.80666666667,2366.844407593917
True,False,False,False,False,0.5,487500,487500,12328.726666666667,12323.58,2683045763.0,2690165947.0,24652.306666666667,2686.605111758928
True,False,False,False,False,0.5,525000,525000,8108.376666666666,8093.176666666666,5318459916.666667,5318191061.0,16201.553333333333,5318.325614951058
True,False,False,False,False,0.5,562500,562500,5087.56,5080.526666666667,4569533331.333333,4573656324.333333,10168.086666666666,4571.593401882462
True,False,False,False,False,0.5,600000,600000,5376.076666666667,5366.743333333334,4777997315.333333,4782353091.0,10742.82,4780.173311023532
