quorumCheckOnRead,ongaroLeaseEnabled,leaseGuardEnabled,deferCommitEnabled,inheritLeaseEnabled,size,electionTimeoutMilliseconds,delta,latencyMs,threads,operations,operationType,opsPerSec,p50latencyNanos,p90latencyNanos,p95latencyNanos
False,False,False,False,False,1024,500,500,1,1,100000,read,2150.45,67724.0,100772.0,106250.0
False,False,False,False,False,1024,500,500,1,1,100000,write,1075.24,5299713.0,6870534.0,7179916.0
False,False,False,False,False,1024,500,500,1,1,100000,read,2150.45,66273.0,99502.0,105249.0
False,False,False,False,False,1024,500,500,1,1,100000,write,1075.24,5216727.0,6710729.0,7068863.0
False,False,False,False,False,1024,500,500,1,1,100000,read,2150.43,67812.0,102112.0,108097.0
False,False,False,False,False,1024,500,500,1,1,100000,write,1075.23,5236920.0,6748665.0,7083738.0
False,False,False,False,False,1024,500,500,2,1,100000,read,2150.45,66986.0,102452.0,107403.0
False,False,False,False,False,1024,500,500,2,1,100000,write,1075.24,6504841.0,8426150.0,8888906.0
False,False,False,False,False,1024,500,500,2,1,100000,read,2150.48,66978.0,101077.0,106527.0
False,False,False,False,False,1024,500,500,2,1,100000,write,1075.24,6761391.0,8827750.0,9196645.0
False,False,False,False,False,1024,500,500,2,1,100000,read,2150.45,69188.0,114873.0,116857.0
False,False,False,False,False,1024,500,500,2,1,100000,write,1075.24,6667048.0,8717530.0,9120738.0
False,False,False,False,False,1024,500,500,3,1,100000,read,2150.48,69223.0,103188.0,109037.0
False,False,False,False,False,1024,500,500,3,1,100000,write,1075.24,7991766.0,10442120.0,10971797.0
False,False,False,False,False,1024,500,500,3,1,100000,read,2150.45,69350.0,98655.0,106326.0
False,False,False,False,False,1024,500,500,3,1,100000,write,1075.24,8125962.0,10593378.0,11044968.0
False,False,False,False,False,1024,500,500,3,1,100000,read,2150.45,67777.0,114300.0,116406.0
False,False,False,False,False,1024,500,500,3,1,100000,write,1075.24,8285786.0,10738027.0,11133745.0
