latencyMs,operationType,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled,size,threads,operations,recordedAt,opsPerSec,p50latencyMicros,p90latencyMicros,p95latencyMicros
0,read,False,False,False,False,1024,100,100000,2025-01-26T04:02:28.976722,65545.4,1510.0,1610.0,1655.0
0,read,False,False,False,False,1024,100,100000,2025-01-26T04:02:52.638594,65187.5,1517.0,1630.0,1682.0
0,read,False,False,False,False,1024,100,100000,2025-01-26T04:03:11.650526,65808.4,1503.0,1611.0,1656.0
0,read,False,False,False,False,1024,100,100000,2025-01-26T04:03:32.038721,66485.1,1487.0,1594.0,1644.0
0,read,False,False,False,False,1024,100,100000,2025-01-26T04:03:53.269642,65014.4,1522.0,1632.0,1680.0
0,write,False,False,False,False,1024,100,100000,2025-01-26T04:04:41.659673,3175.85,31313.0,33366.0,34592.0
0,write,False,False,False,False,1024,100,100000,2025-01-26T04:05:32.351641,3180.1,31287.0,33303.0,34679.0
0,write,False,False,False,False,1024,100,100000,2025-01-26T04:06:30.280682,3183.26,31321.0,33137.0,34302.0
0,write,False,False,False,False,1024,100,100000,2025-01-26T04:07:25.651677,3181.14,31310.0,33411.0,34492.0
0,write,False,False,False,False,1024,100,100000,2025-01-26T04:08:19.644635,3180.07,31316.0,33318.0,34424.0
100,read,False,False,False,False,1024,100,100000,2025-01-26T04:08:49.092702,64804.9,1525.0,1631.0,1678.0
100,read,False,False,False,False,1024,100,100000,2025-01-26T04:09:15.719778,65840.4,1507.0,1608.0,1648.0
100,read,False,False,False,False,1024,100,100000,2025-01-26T04:09:36.800828,67180.5,1474.0,1578.0,1620.0
100,read,False,False,False,False,1024,100,100000,2025-01-26T04:09:59.854859,65901.5,1503.0,1600.0,1638.0
100,read,False,False,False,False,1024,100,100000,2025-01-26T04:10:20.907511,66266.5,1494.0,1593.0,1637.0
100,write,False,False,False,False,1024,100,100000,2025-01-26T04:11:17.895918,101.825,928873.0,1030697.0,1030876.0
100,write,False,False,False,False,1024,100,100000,2025-01-26T04:12:10.840572,99.6822,930437.0,1131600.0,1133595.0
