operationType,recordedAtNanos,latencyNanos,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled
read,1738554453417446480,2095534,False,False,False,False
read,1738554453419542302,465359,False,False,False,False
read,1738554453420007897,586262,False,False,False,False
read,1738554453420594448,950979,False,False,False,False
read,1738554453421545558,2230925,False,False,False,False
read,1738554453423776658,722428,False,False,False,False
read,1738554453424499204,729525,False,False,False,False
read,1738554453425228865,490586,False,False,False,False
read,1738554453425719791,784764,False,False,False,False
read,1738554453426505067,763483,False,False,False,False
read,1738554453427268802,521605,False,False,False,False
read,1738554453427790542,1230697,False,False,False,False
read,1738554453429021387,1147819,False,False,False,False
read,1738554453430169643,855501,False,False,False,False
read,1738554453431025377,1936228,False,False,False,False
read,1738554453432961841,1345674,False,False,False,False
read,1738554453434307654,558401,False,False,False,False
read,1738554453434866747,779752,False,False,False,False
read,1738554453435646648,1387610,False,False,False,False
read,1738554453437034514,384089,False,False,False,False
read,1738554453437418734,658356,False,False,False,False
read,1738554453438077320,545290,False,False,False,False
read,1738554453438622731,1059683,False,False,False,False
read,1738554453439682634,1459496,False,False,False,False
read,1738554453441142269,1655884,False,False,False,False
read,1738554453442798295,607669,False,False,False,False
read,1738554453443406123,624893,False,False,False,False
read,1738554453444031293,881376,False,False,False,False
read,1738554453444912877,1030196,False,False,False,False
read,1738554453445943245,810388,False,False,False,False
read,1738554453446753795,1459355,False,False,False,False
read,1738554453448213391,1393942,False,False,False,False
read,1738554453449607649,1333292,False,False,False,False
read,1738554453450941223,439162,False,False,False,False
read,1738554453451380547,1087372,False,False,False,False
read,1738554453452468247,1201316,False,False,False,False
read,1738554453453669697,655574,False,False,False,False
read,1738554453454325604,1671499,False,False,False,False
read,1738554453455997236,1300571,False,False,False,False
read,1738554453457298038,972288,False,False,False,False
read,1738554453458270480,467865,False,False,False,False
read,1738554453458738628,972644,False,False,False,False
read,1738554453459711563,775177,False,False,False,False
read,1738554453460486997,939575,False,False,False,False
read,1738554453461426697,518719,False,False,False,False
read,1738554453461945560,818543,False,False,False,False
read,1738554453462764395,806086,False,False,False,False
read,1738554453463570695,1212937,False,False,False,False
read,1738554453464783839,737466,False,False,False,False
read,1738554453465521427,681198,False,False,False,False
read,1738554453466202742,1005494,False,False,False,False
read,1738554453467208448,1235666,False,False,False,False
read,1738554453468444262,395643,False,False,False,False
read,1738554453468839984,131618,False,False,False,False
read,1738554453468971687,890352,False,False,False,False
read,1738554453469862449,1405068,False,False,False,False
read,1738554453471267700,365103,False,False,False,False
read,1738554453471632912,509814,False,False,False,False
read,1738554453472142834,893320,False,False,False,False
read,1738554453473036243,1446034,False,False,False,False
read,1738554453474482389,898630,False,False,False,False
read,1738554453475381154,563466,False,False,False,False
read,1738554453475944745,548157,False,False,False,False
read,1738554453476493025,591412,False,False,False,False
read,1738554453477084592,421323,False,False,False,False
read,1738554453477506577,590493,False,False,False,False
read,1738554453478097172,527238,False,False,False,False
read,1738554453478624633,1937768,False,False,False,False
read,1738554453480562534,208118,False,False,False,False
read,1738554453480770759,520611,False,False,False,False
read,1738554453481291447,707930,False,False,False,False
read,1738554453481999543,1387438,False,False,False,False
read,1738554453483387294,1284969,False,False,False,False
read,1738554453484672611,583364,False,False,False,False
read,1738554453485256164,504934,False,False,False,False
read,1738554453485761212,619558,False,False,False,False
read,1738554453486381049,880428,False,False,False,False
read,1738554453487261583,1040518,False,False,False,False
read,1738554453488302348,873577,False,False,False,False
read,1738554453489176294,1906117,False,False,False,False
read,1738554453491082663,847975,False,False,False,False
read,1738554453491931000,831493,False,False,False,False
read,1738554453492762638,569630,False,False,False,False
read,1738554453493332403,1053958,False,False,False,False
read,1738554453494386495,852820,False,False,False,False
read,1738554453495239501,1010454,False,False,False,False
read,1738554453496250100,863233,False,False,False,False
read,1738554453497113491,889627,False,False,False,False
read,1738554453498003374,1131585,False,False,False,False
read,1738554453499135112,813339,False,False,False,False
read,1738554453499948591,1013029,False,False,False,False
read,1738554453500961851,885211,False,False,False,False
read,1738554453501847157,553797,False,False,False,False
read,1738554453502401181,609080,False,False,False,False
read,1738554453503010379,430528,False,False,False,False
read,1738554453503440990,2227881,False,False,False,False
read,1738554453505669078,1845271,False,False,False,False
read,1738554453507514505,1515325,False,False,False,False
read,1738554453509029968,658744,False,False,False,False
read,1738554453509688972,509289,False,False,False,False
read,1738554453510198396,512729,False,False,False,False
read,1738554453510711285,2121803,False,False,False,False
read,1738554453512833419,840095,False,False,False,False
read,1738554453513673748,596925,False,False,False,False
read,1738554453514270807,933483,False,False,False,False
read,1738554453515204645,674203,False,False,False,False
read,1738554453515879108,499291,False,False,False,False
read,1738554453516378674,591997,False,False,False,False
